Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Harrison,"220,448","9,017","3,596","1,922",0,"7,348","198,378","14,382","7,688",0,4,2019
Journal Square,"705,668","27,408","15,193","10,480",0,"23,522","602,977","60,773","41,918",0,4,2019
Grove Street,"563,030","22,059","11,728","7,705",0,"18,768","485,299","46,912","30,819",0,4,2019
Exchange Place,"442,819","18,540","5,151","3,582",0,"14,761","407,888","20,604","14,327",0,4,2019
Pavonia/ Newport,"498,149","19,925","9,029","5,918",0,"16,605","438,358","36,117","23,674",0,4,2019
Hoboken,"722,531","29,554","11,190","6,894",0,"24,084","650,192","44,762","27,577",0,4,2019
NEW JERSEY SUBTOTAL,"3,880,693","156,810","64,807","42,904",0,"129,356","3,449,851","259,228","171,614",0,4,2019
Christopher Street,"145,879","5,297","4,146","2,723","1,872","4,706","116,529","16,585","10,893","1,872",5,2019
9thStreet,"156,637","5,270","5,643","3,865","2,657","5,053","115,950","22,571","15,459","2,657",5,2019
14thStreet,"254,265","9,282","7,052","4,594","3,488","8,202","204,194","28,207","18,376","3,488",5,2019
23rdStreet,"246,744","9,803","4,212","2,922","2,534","7,959","215,671","16,849","11,690","2,534",5,2019
33rdStreet,"943,097","35,586","21,430","15,177","13,773","30,422","782,897","85,719","60,708","13,773",5,2019
UPTOWN SUBTOTAL,"1,746,622","65,238","42,483","29,281","24,324","56,343","1,435,241","169,931","117,126","24,324",5,2019
WTC,"1,508,842","65,226","7,162","7,241","16,252","48,672","1,434,977","28,649","28,964","16,252",5,2019
NEW YORK SUBTOTAL,"3,255,464","130,464","49,645","36,522","40,576","105,015","2,870,218","198,580","146,090","40,576",5,2019
Newark,"751,759","30,810","9,350","6,703","9,716","24,250","677,828","37,402","26,813","9,716",5,2019
Harrison,"235,761","9,303","3,986","3,093","2,767","7,605","204,676","15,946","12,372","2,767",5,2019
Journal Square,"723,636","27,624","15,594","10,386","11,990","23,343","607,730","62,374","41,542","11,990",5,2019
Grove Street,"580,760","22,598","11,572","7,462","7,474","18,734","497,150","46,289","29,847","7,474",5,2019
Exchange Place,"452,729","18,838","5,172","3,340","4,251","14,604","414,430","20,686","13,362","4,251",5,2019
Pavonia/ Newport,"510,395","20,118","9,436","5,935","6,316","16,464","442,593","37,746","23,740","6,316",5,2019
Hoboken,"729,433","29,658","10,802","6,817","6,492","23,530","652,465","43,209","27,267","6,492",5,2019
NEW JERSEY SUBTOTAL,"3,984,473","158,949","65,912","43,736","49,006","128,531","3,496,872","263,652","174,943","49,006",5,2019
Christopher Street,"149,508","5,559","4,266","3,401",0,"4,984","111,172","21,329","17,007",0,6,2019
9thStreet,"151,178","4,952","5,747","4,681",0,"5,039","99,040","28,735","23,403",0,6,2019
14thStreet,"249,105","9,228","6,896","6,013",0,"8,304","184,557","34,481","30,067",0,6,2019
23rdStreet,"239,049","9,922","4,350","3,771",0,"7,968","198,441","21,752","18,856",0,6,2019
33rdStreet,"924,015","36,432","21,549","17,526",0,"30,801","728,641","107,744","87,630",0,6,2019
UPTOWN SUBTOTAL,"1,712,855","66,093","42,808","35,392",0,"57,095","1,321,851","214,041","176,963",0,6,2019
WTC,"1,366,628","65,516","6,034","5,228",0,"45,554","1,310,318","30,169","26,141",0,6,2019
NEW YORK SUBTOTAL,"3,079,483","131,609","48,842","40,620",0,"102,649","2,632,169","244,210","203,104",0,6,2019
Newark,"695,973","30,687","8,852","7,596",0,"23,199","613,733","44,259","37,981",0,6,2019
Harrison,"220,219","9,465","3,590","2,594",0,"7,341","189,296","17,952","12,971",0,6,2019
