Hour,Avg Weekday Entry,Avg Saturday Entry,Avg Sunday Entry,Avg Weekday Exit,Avg Saturday Exit,Avg Sunday Exit,Avg Holiday Entries,Avg Holiday Exits,month,station
12:00:00 AM,36,150,156,8,21,30,47,7,1,Christopher St.
1:00:00 AM,19,96,145,9,29,30,36,9,1,Christopher St.
2:00:00 AM,10,65,111,4,16,18,23,8,1,Christopher St.
3:00:00 AM,9,46,72,7,12,19,16,2,1,Christopher St.
4:00:00 AM,8,28,33,7,6,8,11,6,1,Christopher St.
5:00:00 AM,7,14,15,15,10,8,3,6,1,Christopher St.
6:00:00 AM,25,8,7,147,20,13,8,61,1,Christopher St.
7:00:00 AM,84,11,6,384,23,10,19,73,1,Christopher St.
8:00:00 AM,200,20,12,"1,038",65,26,25,163,1,Christopher St.
9:00:00 AM,126,28,17,"1,076",83,49,33,185,1,Christopher St.
10:00:00 AM,57,31,31,311,145,108,44,167,1,Christopher St.
11:00:00 AM,60,59,50,131,190,154,47,180,1,Christopher St.
12:00:00 PM,71,86,61,96,195,171,62,172,1,Christopher St.
1:00:00 PM,85,80,81,91,254,195,89,191,1,Christopher St.
2:00:00 PM,122,120,111,97,185,169,115,127,1,Christopher St.
3:00:00 PM,254,152,146,99,173,151,161,124,1,Christopher St.
4:00:00 PM,440,185,157,136,186,131,217,126,1,Christopher St.
5:00:00 PM,"1,018",197,165,207,179,111,241,147,1,Christopher St.
6:00:00 PM,910,179,135,226,196,101,178,131,1,Christopher St.
7:00:00 PM,442,186,120,141,187,73,162,104,1,Christopher St.
8:00:00 PM,280,162,120,70,142,62,111,43,1,Christopher St.
9:00:00 PM,222,159,106,46,108,38,112,36,1,Christopher St.
10:00:00 PM,164,174,87,32,74,34,83,25,1,Christopher St.
11:00:00 PM,107,162,49,25,67,18,58,17,1,Christopher St.
12:00:00 AM,48,149,157,12,28,58,66,13,2,Christopher St.
1:00:00 AM,24,109,132,12,25,24,34,6,2,Christopher St.
2:00:00 AM,13,77,100,11,15,21,30,2,2,Christopher St.
3:00:00 AM,9,49,60,9,15,13,20,5,2,Christopher St.
4:00:00 AM,7,38,35,12,7,8,19,4,2,Christopher St.
5:00:00 AM,7,11,14,20,17,11,8,14,2,Christopher St.
6:00:00 AM,29,6,4,170,27,16,11,65,2,Christopher St.
7:00:00 AM,87,12,8,447,30,18,18,64,2,Christopher St.
8:00:00 AM,188,20,13,"1,171",89,44,38,292,2,Christopher St.
9:00:00 AM,121,35,24,"1,147",117,65,46,261,2,Christopher St.
10:00:00 AM,56,41,36,354,155,143,37,231,2,Christopher St.
11:00:00 AM,62,71,52,154,258,218,76,291,2,Christopher St.
12:00:00 PM,73,78,69,121,300,239,86,242,2,Christopher St.
1:00:00 PM,92,113,102,108,298,226,117,172,2,Christopher St.
2:00:00 PM,126,124,117,110,349,209,113,231,2,Christopher St.
3:00:00 PM,242,181,149,120,275,172,204,169,2,Christopher St.
4:00:00 PM,435,238,196,176,290,183,268,195,2,Christopher St.
5:00:00 PM,976,285,215,285,308,194,318,176,2,Christopher St.
